name,description,site_type,longitude,latitude,elevation,datum
HH01,LUCIA,Household,-86.49060300551355,13.51997100748122,748.809021,WGS 84
HH02,,Household,-86.49048699997365,13.52021802216768,747.115295,WGS 84
HH03,DORCA,Household,-86.4905259758234,13.52055204100907,747.921387,WGS 84
HH04,GERSON,Household,-86.49061297997832,13.52073702961206,749.876648,WGS 84
HH05,,Household,-86.49084398522973,13.52079503238201,751.53186,WGS 84
HH06,MAR PER,Household,-86.49318899028003,13.52140096016228,760.721924,WGS 84
HH07,,Household,-86.49124204181135,13.52253603748977,755.626038,WGS 84
HH08,,Household,-86.49136701598763,13.52210998535156,758.938049,WGS 84
HH10,,Household,-86.49278498254716,13.52189901284873,771.056458,WGS 84
HH11,,Household,-86.49310299195349,13.52180002257228,765.27179,WGS 84
HH12,,Household,-86.49343902245164,13.52155200205743,761.347839,WGS 84
HH13,,Household,-86.49386901408434,13.51879200898111,761.855896,WGS 84
HH14,,Household,-86.49382601492107,13.52080903016031,752.191406,WGS 84
HH15,,Household,-86.49477803148329,13.52030896581709,754.710388,WGS 84
HH16,,Household,-86.49452799931169,13.52099703624845,753.28656,WGS 84
HH17,,Household,-86.49421602487564,13.52177596651018,714.860535,WGS 84
HH18,,Household,-86.49507701396942,13.52179499343038,745.703491,WGS 84
HH19,,Household,-86.49482999928296,13.52191602811217,762.172546,WGS 84
HH20,,Household,-86.49466102011502,13.52231299504638,771.962036,WGS 84
HH21,,Household,-86.4954200014472,13.52165996097028,766.276611,WGS 84
HH23,,Household,-86.49593096226454,13.52042002603412,782.583618,WGS 84
HH24,,Household,-86.49617403745651,13.52027401328087,784.190552,WGS 84
HH25,,Household,-86.4960949961096,13.51997897028923,788.9167480000001,WGS 84
HH26,,Household,-86.49696797132492,13.52194896899164,784.7597659999999,WGS 84
HH27,,Household,-86.49700996465981,13.52213898673654,786.5175779999998,WGS 84
HH28,,Household,-86.49715295992792,13.52243604138494,785.5789179999999,WGS 84
HH30,CASA COMUNAL,Household,-86.49730299599469,13.52242497727275,783.58075,WGS 84
HH31,,Household,-86.49791898205876,13.52153297513723,795.54919400000006,WGS 84
HH32,,Household,-86.49788696318865,13.52119099348783,788.241272,WGS 84
HH33,,Household,-86.49802098982036,13.52107398211956,787.864197,WGS 84
HH34,,Household,-86.49825501255691,13.5209149774164,783.5273439999999,WGS 84
HH35,,Household,-86.49830798618495,13.52081900462508,788.2191159999999,WGS 84
HH36,,Household,-86.49821301922202,13.52071699686348,787.787537,WGS 84
HH37,,Household,-86.49855298921466,13.52122100070119,806.13739,WGS 84
HH38,,Household,-86.4983020350337,13.52139802649617,804.623535,WGS 84
HH39,,Household,-86.49860504083335,13.52165099233389,821.9647829999999,WGS 84
HH40,,Household,-86.49729997850955,13.52266897447407,785.6386719999999,WGS 84
HH41,,Household,-86.49756199680269,13.52264198474586,789.907532,WGS 84
HH42,,Household,-86.49776601232588,13.52309603244066,784.652161,WGS 84
HH43,ESCUELA RUBEN DARIO,Household,-86.49794002063572,13.52313601411879,786.670959,WGS 84
HH44,,Household,-86.4983110036701,13.52295798249543,783.027588,WGS 84
HH45,,Household,-86.49870897643268,13.52335100993514,786.522217,WGS 84
HH46,,Household,-86.49828200228512,13.52352602407336,786.724487,WGS 84
HH47,,Household,-86.49860898032784,13.5242959856987,783.990112,WGS 84
HH48,,Household,-86.49881701916456,13.52423496544361,784.614136,WGS 84
HH49,,Household,-86.49901801720262,13.5240369848907,787.7456049999998,WGS 84
HH50,,Household,-86.49930400773883,13.52443998679519,799.018005,WGS 84
HH51,,Household,-86.49899396114051,13.52327599190176,733.887451,WGS 84
HH52,,Household,-86.49915799498558,13.52336098439991,768.83313,WGS 84
HH53,,Household,-86.49919303134084,13.52311396971345,781.191895,WGS 84
HH54,,Household,-86.49972503073514,13.52247904054821,803.482117,WGS 84
HH55,,Household,-86.49990297853947,13.52249002084136,810.066162,WGS 84
HH56,,Household,-86.49995896965265,13.52259999141097,818.166504,WGS 84
HH57,,Household,-86.5001929923892,13.52275497280061,830.3242189999999,WGS 84
HH58,,Household,-86.50572999380529,13.52301497943699,907.0523680000001,WGS 84
HH59,,Household,-86.50591598823667,13.52188602089882,940.833801,WGS 84
HH60,,Household,-86.50604196824133,13.52182399481535,940.978333,WGS 84
HH61,,Household,-86.50607499293983,13.5214710328728,942.052185,WGS 84
HH62,,Household,-86.5071539953351,13.52261600084603,958.250732,WGS 84
HH63,,Household,-86.50724896229804,13.52233696728945,958.107849,WGS 84
HH64,,Household,-86.50761298835278,13.52321798913181,948.1264039999999,WGS 84
HH65,,Household,-86.5036849770695,13.52199004031718,920.377502,WGS 84
HH66,,Household,-86.50197196751833,13.52026797831059,898.582275,WGS 84
HH67,,Household,-86.5019510127604,13.52040602825582,892.558105,WGS 84
HH68,,Household,-86.49727298878133,13.52385300211608,774.139038,WGS 84
HH69,,Household,-86.49636397138238,13.5233619902283,771.583008,WGS 84
HH70,,Household,-86.49626397527754,13.52381302043796,767.946777,WGS 84
HH71,,Household,-86.49655600078404,13.52376298047602,770.3153079999998,WGS 84
HH72,,Household,-86.49628995917737,13.52398904040456,768.425537,WGS 84
HH73,,Household,-86.4953230228275,13.52355896495283,777.011169,WGS 84
HH74,,Household,-86.49612600915134,13.52441098541021,769.381348,WGS 84
HH75,,Household,-86.49552796036005,13.52465297095478,767.4151,WGS 84
HH76,,Household,-86.49396096356213,13.52431300096214,767.941589,WGS 84
HH77,,Household,-86.49357103742659,13.52505697868764,758.972351,WGS 84
